run_id,model,target,split,precision,recall,f1,roc_auc,pr_auc,predicted_positive_rate,recall_at_10pct,precision_at_10pct,threshold
20260308T175816Z,rule,fall_next_30d,val,0.2598162071846282,0.4666166541635408,0.3337805205258921,0.6739169877601455,0.1649857230691048,0.1473140114454495,,,
20260308T175816Z,rule,fall_next_30d,test,0.2423018677435638,0.4938271604938271,0.3250931256349475,0.6848580155040659,0.157310225727216,0.1516148783101178,,,
20260308T175816Z,rule,rth_next_30d,val,0.1603139013452914,0.2936344969199179,0.2073966642494561,0.6230605877139553,0.0682416198982938,0.0548889299120054,,,
20260308T175816Z,rule,rth_next_30d,test,0.1738578680203045,0.3971014492753623,0.2418358340688438,0.6729631136008131,0.0849583909087646,0.0603091994489514,,,
20260308T180001Z,decision_tree,fall_next_30d,,0.3926380368098159,0.1316872427983539,0.197226502311248,0.7713260018742076,0.2269966404899888,0.0249502525639063,,,
20260308T180001Z,decision_tree,rth_next_30d,,0.5428571428571428,0.0550724637681159,0.1,0.7952002223870378,0.1361497966333243,0.0026787080973519,,,
20260308T180141Z,decision_tree,fall_next_30d,val,0.4919540229885057,0.1605401350337584,0.2420814479638009,0.7744344250696003,0.2741836122445142,0.026767583533321,,,
20260308T180141Z,decision_tree,fall_next_30d,test,0.3926380368098159,0.1316872427983539,0.197226502311248,0.7713260018742076,0.2269966404899888,0.0249502525639063,,,
20260308T180141Z,decision_tree,rth_next_30d,val,0.4347826086956521,0.0410677618069815,0.075046904315197,0.7684947560709374,0.1244615270832814,0.0028305950403052,,,
20260308T180141Z,decision_tree,rth_next_30d,test,0.5428571428571428,0.0550724637681159,0.1,0.7952002223870378,0.1361497966333243,0.0026787080973519,,,
20260308T181823Z,decision_tree,fall_next_30d,val,0.4919540229885057,0.1605401350337584,0.2420814479638009,0.7744344250696003,0.2741836122445142,0.026767583533321,0.3795948987246811,0.3113846153846153,
20260308T181823Z,decision_tree,fall_next_30d,test,0.3926380368098159,0.1316872427983539,0.197226502311248,0.7713260018742076,0.2269966404899888,0.0249502525639063,0.3713991769547325,0.276416539050536,
20260308T181823Z,decision_tree,rth_next_30d,val,0.4347826086956521,0.0410677618069815,0.075046904315197,0.7684947560709374,0.1244615270832814,0.0028305950403052,0.3819301848049281,0.1144615384615384,
20260308T181823Z,decision_tree,rth_next_30d,test,0.5428571428571428,0.0550724637681159,0.1,0.7952002223870378,0.1361497966333243,0.0026787080973519,0.4057971014492754,0.1071975497702909,
20260308T182658Z,lightgbm,fall_next_30d,val,0.3247453565008987,0.4066016504126031,0.3610926049300466,0.7945690253505862,0.3151820462025166,,0.3953488372093023,,0.107661056866444
20260308T182658Z,lightgbm,fall_next_30d,test,0.2419601837672281,0.3251028806584362,0.2774363476733977,0.7433310041846415,0.2134561685462104,,0.3251028806584362,,0.107661056866444
20260308T183037Z,lightgbm,fall_next_30d,val,0.3247453565008987,0.4066016504126031,0.3610926049300466,0.7945690253505862,0.3151820462025166,0.1027013722232478,0.3953488372093023,0.3243076923076923,0.107661056866444
20260308T183037Z,lightgbm,fall_next_30d,test,0.2419601837672281,0.3251028806584362,0.2774363476733977,0.7433310041846415,0.2134561685462104,0.0999540792897596,0.3251028806584362,0.2419601837672281,0.107661056866444
20260308T183154Z,lightgbm,fall_next_30d,val,0.3247453565008987,0.4066016504126031,0.3610926049300466,0.7945690253505862,0.3151820462025166,0.1027013722232478,0.3953488372093023,0.3243076923076923,0.107661056866444
